City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,sabzevar,36.2126,57.6819,27.360000000000014,21,0,6.65,IR,1691701234
316,colac,-38.3333,143.5833,8.240000000000009,62,100,3.85,AU,1691701234
317,zeya,53.75,127.2667,16.02000000000004,75,76,0.81,RU,1691701234
318,copiapo,-27.3667,-70.3333,15.830000000000041,37,48,2.35,CL,1691701235
319,billingshurst,51.0192,-0.4541,21.04000000000002,1,31,2.84,GB,1691701235
320,jaguariaiva,-24.2511,-49.7058,19.29000000000002,65,60,0.33,BR,1691701235
321,camapua,-19.5314,-54.0439,32.610000000000014,18,0,2.11,BR,1691701236
322,rongelap,11.1635,166.8941,28.160000000000025,75,26,5.27,MH,1691701236
323,benjamin hill,30.1667,-111.1,35.200000000000045,27,100,2.59,MX,1691701236
324,karachi,24.9056,67.0822,26.900000000000034,78,75,6.17,PK,1691701148
325,nadym,65.5333,72.5167,5.8799999999999955,84,0,9.05,RU,1691700994
326,puerto ayacucho,5.6639,-67.6236,28.230000000000018,79,83,2.01,VE,1691701019
327,turabah,21.2141,41.6331,28.870000000000005,21,61,3.95,SA,1691701237
328,bankura,23.25,87.0667,28.970000000000027,72,100,1.58,IN,1691701237
329,isla aguada,18.7833,-91.4667,30.560000000000002,68,2,4.33,MX,1691701237
